title,year,genre,plot
Wyjdź za mnie,2022,"Comedy, Music, Romance","Music superstars Kat Valdez and Bastian are getting married before a global audience of fans. But when Kat learns, seconds before her vows, that Bastian has been unfaithful, she instead decides to marry Charlie, a stranger in the crowd."
Last American Horror Show: Volume II,2022,Horror,This is the sequel to Last American Horror Show.
The Darker the Lake,2022,"Crime, Mystery, Thriller","When strange, supernatural murders suddenly become the talk a peaceful town, two detectives must solve a deadly game, but will the myth of this game reveal secrets too close to home."
Stroke of Luck,2022,Comedy,"Young Nathan has pulled a damaging prank at his school in the city and is sent to his father's farm to work it off. But Nathan finds much more than he bargained for when he gets there, including Sarah, a very charming, independent farm hand, a bizarre crime ring, and a horse that only he can hear talk. Cameo by John Popper - lead singer of the band Blues Traveler. Directed and co-authored by first-time feature filmmaker, Christian Frelinghuysen. Produced by Mark Farrell (Curb Your Enthusiasm, Z Rock). Shot entirely in the Berkshires of Western Massachusetts. [Coming-of-Age Comedy]"
Immenhof - La grande promessa,2022,"Adventure, Drama, Family",
Rat Park,2022,Drama,A recovering addict struggles to save his loved ones when a home invasion goes terribly wrong.
La voluntaria,2022,Drama,"A retired doctor, decides to travel as a volunteer to a greek refugee camp. When she meets young Ahmed, the limits between the need to take care of somebody and of feeling useful begin to fade."
Project Kahuta,2022,"Biography, History, Thriller",A captivating and true case study of espionage webbed around one of the finest operations pulled by India's Research and Analysis wing against Pakistan's top secret nuclear plant at Kahuta.
The Island of Forgiveness,2022,Drama,"Andrea Licari, a Tunisian of Italian descent now 60 years of age, has become an accomplished author, college professor and a leading thinker in Rome. Today, Andrea finds himself facing the most challenging time of his life."
Site,2022,"Horror, Sci-Fi, Thriller","After a terrifying encounter at an abandoned government test site, a small town family man begins seeing haunting visions of a past that threatens to destroy his present."
CryptoKings,2022,Thriller,
The Weary Traveler,2022,Horror,
Expired,2022,"Romance, Sci-Fi","In an uncharted future, two hardened souls meet and confront each other with the things they have done and what they have become."
Strange World,2022,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",The legendary Clades are a family of explorers whose differences threaten to topple their latest and most crucial mission.
Lightyear,2022,"Animation, Action, Adventure, Drama, Family, Sci-Fi","While spending years attempting to return home, marooned Space Ranger Buzz Lightyear encounters an army of ruthless robots commanded by Zurg who are attempting to steal his fuel source."
Path to Midnight,2022,"Crime, Thriller",A home invasion turns deadly when the would be robbers and their targets are held captive by the mob.
Amsterdam,2022,"Comedy, Drama, History, Mystery, Thriller","In the 1930s, three friends witness a murder, are framed for it, and uncover one of the most outrageous plots in American history."
Untitled Disney Live Action Project,2022,"Drama, Mystery, Thriller",
Untitled Disney Live Action Project,2022,,
Alone in the Night,2022,"Horror, Thriller",Stephanie and her friends run into car trouble and stay over at an empty house...or is it?
Big Gold Brick,2022,"Comedy, Fantasy","Fledgling writer Samuel Liston and his experiences with Floyd Deveraux, the enigmatic middle-aged father of two who enlists Samuel to write his biography."
Dampyr,2022,"Fantasy, Horror","Harlan Draka is a Dampyr, half-human and half-vampire, but he doesn't know it. Soon he will have to face his powers to destroy a terrible Master of The Night."
Unplugging,2022,"Comedy, Romance","To revive their marriage and reconnect, a couple takes a self-prescribed digital detox weekend to a remote mountain town. What starts as a perfect weekend getaway without technology quickly spirals out of control."
Levi Roots,2022,"Comedy, Drama",
The Contractor,2022,"Action, Drama, Thriller","A discharged U.S. Special Forces sergeant, James Harper, risks everything for his family when he joins a private contracting organization."
The Final Sacrifice: Directors Cut,2022,Action,"THE FINAL SACRIFICE is a three-sided story about German, Italian, and American soldiers, set in Northern Italy during the final weeks of the World War II."
Major Majestyk: The Power of the Crystals,2022,Sci-Fi,"In a steam-punk world, the incursion by meteorites containing a new power source triggers a global fight for domination."
Paki,2022,"Action, Drama","The story of Israel with his brother Mateo and son Bebo, is on the run from war. After a long journey, they end up in Norway, in a dense small town life in the new city will be a journey from war to a new war."
Etharkkum Thuninthavan,2022,"Action, Crime, Drama, Thriller","A lawyer turns judge jury and executioner and goes after a gang, led by a minister's son, that threatens women with videos of them."
Slugger O'Toole,2022,"Comedy, Drama","Popeye of the Emerald Isle, when Erin first rose, so did he. Slugger doesn't have much need for large dark green leaves but a shot of good Irish whiskey he would rarely refuse. Leaving the place he calls home; turning his back on everything he holds dear - to embrace the uncertainty of a life across the water is no small adventure. His mother has allegedly set up a life in America. At a glance this may appear like clever resolve but a bolder definition presents deeper challenge for the stereotype local boy, drunk as a rule, never backs down from the fight.

Slugger O'Toole isn't just a character in a song, he's a street scrapper and stands undefeated. Fond of his gargle, fond of his ladies, he certainly doesn't turn many corners without his share of drama. Forced into local trouble with the higher ranked paramilitary boys, on both sides, Slugger must now face a quiet exile and is given the choice of anywhere in the world to disappear.

With the potential of family across the water, his exit may be softer than it appears but the problem with geographical solutions - he takes his problems with him. New Orleans has a new set of concerns, and water sinks to its own level.

A new love interest; an ongoing feud with local Cartels; the reunion of family controversy; a well lubricated street fighting career; all contributes to an increasingly fatal alcohol dependency issue, then the demons that accompany that. Slugger is deluded. Just when it all seems to find solution, problems seem to reach their end, the real problem stands face to face with Slugger in the mirror. His fight was within himself."
Stars at Noon,2022,"Drama, Romance, Thriller","A young American journalist stranded in present-day Nicaragua falls for an enigmatic Englishman who seems like her best chance of escape. She soon realizes, that he may be in even greater danger than she is."
Loren & Rose,2022,Drama,"The appetizer is an introduction, the dessert is a farewell in this story of an indelible bond forged between a promising young filmmaker and an iconic actress."
La vaca que cantó una canción hacia el futuro,2022,Drama,"Cecilia travels to her father's farm after he has a heart attack. Back in her childhood home, Cecilia is met by her long-deceased mother whose presence brings to life a painful past chorused by the natural world around them."
Shane,2022,"Documentary, Sport","This will present an intimate portrayal of Warne, the retired Australian cricketer and larger-than-life character whose reputation on and off the green pitch saw his fame transcend cricket."
Disbeliever,2022,Documentary,"Through the lens of American cultural anthropologist and Pultizer Prize-winning author Ernest Becker, DISBELIEVER is a cinematic rumination on human mortality and the lengths to which we go to deny it."
Fisherman's Friends: One and All,2022,"Comedy, Drama, Music","Following the success of their first album, the Fisherman's Friends struggle to adjust to their new-found fame and work towards a second album."
Pada,2022,"Crime, Drama, Thriller","All the governments that have ruled the nation made laws that denied the indigenous people their way of life and their land often, protecting crony capitalist interests. The film revisits an episode of dissent in the 90s which brought up this question amongst us. A history forgotten!"
Hallowtide,2022,Drama,a family divided in small-town USA
The Hit Man,2022,Documentary,"""The Hit Man"" Documentary is about the life and times of Legendary music industry magnate Joe Isgro who picked Hit songs and controlled radio airplay for super star pop artists. The film focuses on Isgro's rise to power culminating in the infamous payola scandals of the 1980's involving all the major music labels, the U.S. Government, and organized crime."
La piel ajena,2022,Drama,
Jayeshbhai Jordaar,2022,"Comedy, Drama",A timid Jayesh must defy his patriarchal family as he flees with his wife to save their unborn daughter from foeticide.
A life like any other,2022,"Documentary, Drama","My father immortalized in family films the most beautiful moments of his life, while my mother's difficulties hit the blind spot of his images. Today, I revisit these images to tell a different story: that of a woman who sees her role as a mother take away her freedom step by step."
Piggy,2022,"Drama, Horror, Thriller",An overweight teen is bullied by a clique of cool girls poolside while holidaying in her village. The long walk home will change the rest of her life.
Bridle,2022,Documentary,"Korean monarchy officially ended in 1911 after Korea annexed by Japan as empire of Japan. Many of monarch family ended up marrying Japanese royalties or aristocrats, some of them still exists in Japan as royal members of Japan. These who still left in Korea were suffered political oppression from Republic of Korean government, and even in North Korea there are some royal members still alive as well, but they're just citizen of North Korea. The world has great interest on South Korean history, it's culture, cuisine and people. South Korea has had such a tragic past and then being ripped apart and abused from 1910-45 to suffer such oppression with no regard what this nation has had to endure!. It's time for it to be healed from these atrocities and openly establish and set the royal family back into it's rightful place."
Brainwashed: Sex-Camera-Power,2022,Documentary,"Investigates the politics of cinematic shot design, and how this meta-level of filmmaking intersects with the twin epidemics of sexual abuse/assault and employment discrimination against women, with over 175 movie clips from 1896 - 2020."
L'homme parfait,2022,Comedy,"Florence, overwhelmed by her family life and her work, decides to buy a robot with a human appearance and a perfect physique. It meets all her expectations: cleaning the house, taking care of the children, and more... But the robot will quickly arouse jealousy in Franck, her unemployed actor husband, I don't care. For fear of losing his wife, Franck decides to take matters into his own hands, especially since the robot seems to find malicious pleasure in causing trouble in their relationship."
Ek Love Ya,2022,"Action, Musical, Romance","Amar, a bright young boy, falls in love with Anitha, but when she rejects his advances, Amar turns into a different person with dim prospects. Produced by Rakshitha Prem, it is touted to be a musical love story."
Atlas of Iladrael,2022,Fantasy,"A man named Atlas wakes up in the strange testing facility of a corporation researching immortality. With no memory of his life before this, Atlas will explore philosophical questions, unrequited love, and the six mysterious Guardians of a mystical forest named Iladrael. A nihilistic mythological fantasy, this film will incorporate surreal imagery, cryptic symbolism, and the fateful consequences of actions. Now in Pre-Production."
Honest to God,2022,Comedy,"When a family man finds out he was misdiagnosed with a terminal illness, he must now make good on the promises he made to God if he were to be healed."
Prindey,2022,Action,
Django/Zorro,2022,"Adventure, Drama, Western","Several years after the events of Django Unchained (2012), Django meets Don Diego de la Vega, the famed Zorro, and agrees to become his bodyguard on a mission to free the local aboriginal population from slavery."
Aylan Baby,2022,"Action, Crime, Drama","Alan Kurdi (Kurdish: Alan Kurdî ), initially reported as Aylan Kurdi, was a three-year-old Syrian - The bodies of Kurdi and another child were discovered by two locals at around 6:30 am. The two men moved the bodies from the water,"
Maurice le chat fabuleux,2022,"Animation, Adventure, Comedy, Family","This story follows Maurice, a goofy streetwise cat, who has the perfect money-making scam. He finds a dumb-looking kid who plays a pipe and has his very own horde of rats, who are strangely literate."
Evil in Plain Sight,2022,Drama,"When FBI agent Darren Kimble, along with his partner Samantha Shaw, a former child victim of trafficking, gets wind of a deranged serial killer slaying innocent women that are believed to be engaging in sex against their will in The Red Light District of Houston, TX, he teams up with local law enforcement before a dangerous killer strikes again."
The Year of the Soul,2022,"Comedy, Drama","A drama-comedy centered on a group of American expatriate friends living in Berlin, depicting their dilemmas, aspirations and their search for a meaningful life."
Nightline,2022,"Crime, Thriller","Under Czech law, most murders can be statute-barred in as little as 20 years. Radio presenter Eva gets involved in one case that is time-barred almost irretrievably. On her nightly show, she gives space to the mysterious Radek, who has returned to Prague after exactly twenty years."
Unbound Evil,2022,"Horror, Mystery","While witnessing a horrific paranormal occurrence inside an abandoned church, a military commando led by a ruthless colonel, discovers a digital tablet with video footage on it: co-workers filming their trip in the woods, connecting the hikers in the footage with the unbound evil inside the church."
Ammonium Nitrate,2022,Action,"Jesse James Price has a passion for chemistry, this leads him to become the proprietor of a schoolyard explosives factory. One of his customers Brittney, is being harassed by a local boy she purchases a chemical cocktail from Jesse hoping to scare the harasser away. Jesse sets fire to his school, and this pushes his already strained relationship with his foster parents, the abusive and pious Donny and Martha Wainwright to breaking point.

Rickson O'Connor and Jesse have been together since their first foster home, the boys are closer than brothers and view each other as the only real family they have. Rickson is a teenage boxing prodigy, and his trainer Bobby is confident that his skills will carry him to eternal glory in the boxing halls of fame, so confident in fact that he mortgages his gym to send the young pugilist to the British Boxing Academy in London. This places Rickson in an awkward dilemma, between chasing his dream and leaving his brother.

Sergeant Culver Simpson, a homeless war veteran turns up at the Wainwrights one morning, drunk and crazy he rattles on the door until a sleepy Jesse answers. Culver barges his way inside and proceeds to tell Jesse the story of his father, Captain Jens Price, how they fought together and how he died, before his death Jens Price gave Culver a compass, Culver passes this compass to Jesse but is interrupted by a furious Donny and is forced to depart. Donny turns his anger to Jesse and begin to beat the boy. Rickson intervenes and punches Donny. The boys are forced to flee the house for the safety of Jesse's Laboratory/shed. Jesse begins to inspect the compass, he finds a small map wedged behind the compasses housing, Jesse reads a note written on the back of the map, it's from his father.

The note tells Jesse of a footlocker buried underneath a waterfall in the middle of a vast wilderness. Jesse and Rickson immediately begin preparing for an expedition. Jesse and Rickson are forced to return to the Wainwrights for supplies, along the way the encounter Brittney, who is furious that the cocktail she bought from Jesse has hospitalized the young boy. Jesse ignores her and sneaks back into the Wainwrights home to discover Antonius a grizzled, knife wielding south African war veteran and ex-comrade of Jesse's father, Antonius wants the map, and he tries to take it but Jesse escapes and along with Rickson and Brittney, sets off on an adventure to find the mystery box. Antonius searches Jesse's laptop and recovers a copy of the map, he sets off after them. As Jesse, Rickson and Brittney move further into the wilderness it becomes apparent that love is blossoming between Rickson and Brittney.

Jesse becomes increasingly bitter and jealous leading to a fight between him and Rickson. Furious at his brother Rickson tells Jesse about the British Boxing Academy and that he is leaving for London as soon as they get back. Jesse punches his brother then departs to find the mystery box on his own. Rickson and Brittney decide to return home in the morning, but during the night Antonius attacks, after beating Rickson in a fight, the ex-soldier proceeds to march the teenagers through the wild in search of Jesse and the box. Jesse locates the waterfall and the box; Jesse opens it and finds his father's diary and a cache of uncut diamonds. Antonius decides to set a trap for the young boy, using Rickson and Brittney as bait. The trap backfires, Jesse, Rickson and Brittney escape and are chased by Antonius back to the waterfall. Antonius finds the mystery box and Jesse convinces the man to open it.

Antonius opens the box, and it explodes, rigged with one of Jesse's homemade explosive devices, the blast kills Antonius and the teenagers come out of the wilderness changed by their experience. Jesse accepts his brothers need to move on and the pair go their separate ways."
Broken,2022,Thriller,"A detective interrogates a woman with the help of a psychiatrist, meanwhile attempting to uncover the truth behind a murder case"
King Size,2022,"Comedy, Fantasy",
Blasé L.A.,2022,Drama,
North Central,2022,Drama,"North Central is a coming of age dramatic comedy that takes us into the hearts and minds of inner city youth who stand on the doorstep of life and are still trying to figure out how to ring the doorbell. In the end, we realize that some are chosen and others sit in the stands."
The Coven,2022,Horror,A devoted couple's quiet weekend takes a bizarre turn when a nightmarish cult and their maniacal leader come to fulfill an apocalyptic prophesy.
Hoodie,2022,Drama,Three friends go for a night on the town in order to help their friend get over what seemed to be the perfect relationship.
Padavettu,2022,"Action, Drama, Thriller","The coming of age drama portray the relentless pursuit of the layman, the oppressed section of society who is in a constant struggle and fight to reclaim their unique identity and rightful place in a world meant for all."
Champagne!,2022,Comedy,"Springtime in the French vineyards of Champagne. Patrick has gathered his oldest friends for his bachelor party. The trouble is, everyone hates his future wife. This could thus become one hellish weekend in gourmet paradise."
Exposure 36,2022,"Sci-Fi, Thriller","Three days before the world is set to end, a photographer is drawn into New York's criminal underworld after his friend goes missing."
On Sacred Ground,2022,Drama,A journalist and oil company executive find themselves on opposite sides of the fight during the construction of the contentious Dakota Access Pipeline that runs through the Standing Rock Indian Reservation in North Dakota.
A Fada do Lar,2022,Comedy,
Maigret,2022,"Crime, Drama","In Paris, a young girl is found dead in a Parisian square, wearing an evening dress. Commissioner Maigret will try to identify her and then understand what happened to the victim."
The Pack,2022,Documentary,"Inmates have a task to train truculent dogs. Capitan Tomek, who is a leader of this program in the prison, struggle to keep the project running. Prisoners start to bond with their dogs and dogs start to change inmates live."
O Palestrante Motivacional,2022,Comedy,"Touched by the lack of perspective in his life, the accountant Guilherme takes the place of Marcelo without even knowing the real Marcelo is a motivational speaker."
Shame,2022,"Horror, Mystery, Thriller","Freud's essay on anxiety, guilt, and shame, perfectly fits on this middle class Indian housewife, who's guilt when turns into shame, creates a monster which is uncontrollable ."
Ancestors from the Stars,2022,Adventure,"An unexpected encounter with an otherworldly visitor, leads a narrow-minded widowed Native American on a path of self-awakening, in order to save not just his ill-fated buddy but also the rest of humanity."
Mind-Set,2022,"Comedy, Drama","Lucy, a disillusioned office clerk who lives in a dysfunctional relationship with her slovenly partner Paul, is surprised to find herself on the cusp of a none-too-secret affair with her new work colleague, Daniel. The thrill of the chase for a shred of affection takes her mind off her problematic life but she's not sure that she'll ever leave Paul, or that sex with someone else is the true answer to her problems."
Dhaakad,2022,"Action, Thriller","Agent Agni, a highly trained and deadly field agent is entrusted with the mission to gather Intel and eliminate Rudraveer, an international human and arms trafficker who has been off the radar for ten years."
Humanity Stoked,2022,Documentary,"The beauty in overcoming fear and other challenges facing humanity as seen by icons of pro skating, science, art, music, activism, and education, all of whom share experiences and perspectives shaped by their love of skateboarding."
Veyil,2022,"Drama, Thriller","Karthi and Sidhu live with their mother. As a family, how they face life and deal with all the challenges thrown at them is what forms the crux of the story."
The Kybalion,2022,"Documentary, Fantasy","This film is an adaptation of the 1908 occult manuscript, The Kybalion - and explores the 7 principles of Hermetics. It is a surreal documentation of the supernatural world around us."
Divine Telepathy,2022,Drama,"On a search to find her true calling in life she discovers a truth about her birth mom - through her passing. Not only does she discover her origin, but she discovers a shared history with siblings she has never known."
A Walk in the Park,2022,"Comedy, Romance","Nate, a suicidal 28 year old incidentally finds the beauty in life after mysteriously waking up naked in a park and discovering he is involved in a marijuana heist. Nate is forced to find a special ""pillowcase"" he lost the night before which is hidden somewhere in the park. He embarks on a journey by putting the puzzle pieces together while encountering a variety of people who include the girl of his dreams and his menacing landlord. All Nate wants to do is get through the day however it may not be that easy."
Lecciones para canallas,2022,Comedy,"Fate leads young Jenny to search for her estranged father: small-time swindler Dirty Barry. Jenny believes love conquers all, but Barry knows money is what makes the world go round. Let the lessons for scoundrels begin."
The Surrogate,2022,Horror,A ghost horror about a mother who falls mysteriously ill and struggles to stop her family from being destroyed.
Wikipedia,2022,,
Babylon,2022,"Comedy, Drama, History","A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood."
Dhokha: Round D Corner,2022,"Crime, Thriller","When a housewife with a personality disorder is taken hostage by a terrorist on the loose and a husband accused of cheating on his wife, have their own versions of reality, how do we know what the truth is? Dhoka Round D corner is a tale of lies and harsh truths."
Thor: Love and Thunder,2022,"Action, Adventure, Comedy, Fantasy, Romance, Sci-Fi","Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct."
Side Effects,2022,Drama,"Alex, a gay college sophomore, attempts to ignore his unrequited feelings for the love of his life by making a superhero film with his friends. As his movie unfolds, so too does the possibility of a new relationship."
Wings Over Water,2022,Documentary,"A documentary filmed in stunning 3D high definition for IMAX. This film will showcase millions of migratory birds, the importance the wetlands of the upper midwest play in their lives, and dangers to the continued existence of the Prairie Pothole region that is so crucial to the future of migratory birds in North America."
Halloween Ends,2022,"Horror, Thriller",The saga of Michael Myers and Laurie Strode comes to a spine-chilling climax in the final installment of this trilogy.
Hometown: Sins of the Fathers,2022,Drama,
Wicked Game,2022,"Action, Romance, Thriller","An electrifying thrill-ride is unfolding with propulsive energy, unexpected twists and breathtaking action."
Campo de Sangue,2022,Drama,
Women of Phantasm: The Documentary with Balls!,2022,"Documentary, Horror","There have been over 144+ women in 40+ years in front of and behind the camera on the world renowned horror series, ""Phantasm."" This is their story."
Para-Psych Trauma,2022,Horror,
Nikamma,2022,"Action, Comedy, Drama",A lazy slacker struggles to get along with his diligent sister-in-law - until they must step up and fight together against a common enemy.
The White Rider Returns - A Sean Hunt Film,2022,Western,"In the Old West, the adventure continues as our Heroes attempt to set free the negro slaves of Bernie William's Family and once again face the sinister Grisham Clan."
Entergalactic,2022,"Animation, Comedy, Music, Romance","Jabari, a charming, streetwear-clad artist on the cusp of real success. After a chance run-in with his cool new photographer neighbor, Meadow, Jabari has to figure out whether he can make space for love in his life."
Slovo,2022,Drama,"The story of the intended feature film The Word (Slovo: originally His Word, Her Word) depicts the lives of Mr. and Mrs. Vaclav Vojir and Vera Vojirova, their family and their immediate surroundings between the summer of 1968 and the summer of 1969."
Rucker,2022,"Drama, Horror, Thriller",A trucker attempts to reconnect with his family by killing women who remind him of his ex-wife.
Ghoul,2022,Horror,"Karla, a free-lance photographer moves into a new house in Las Vegas and thinks it's haunted. A few people (a low-life thief, a creepy handy-man, an angry nosy neighbor, and a few more) get brutally murdered by something horrible that is living in the attic. GHOUL will make you want to sleep with the lights on."
Ponniyin Selvan: Part I,2022,"Action, Drama, Family, Fantasy, History","Vandiyathevan sets out to cross the Chola land to deliver a message from the Crown Prince Aditha Karikalan. Kundavai attempts to establish political peace as vassals and petty chieftains plot against the throne. Unrest grips the land as a long-tailed comet arrives, signalling a time of turmoil."
K.G.F: Chapter 2,2022,"Action, Crime, Drama, Thriller","In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy."
Bachchhan Paandey,2022,"Action, Comedy, Crime, Drama","When a struggling filmmaker and actor set out to make a biography on one of the most dreaded gangsters, they have little idea about just how crazy and dangerous it's going to be."
The Book of Harth,2022,Documentary,A New York City-based conceptual artist embarks on a 20-year art project asking culturally significant people to sign his copy of The Holy Bible.
Nightmare of Alice,2022,Horror,
Sexagenarian,2022,"Comedy, Drama",A lonely sixty year old woman finds a new perspective on her life when an unexpected teenager appears on her doorstep. This troubled young man forces her to confront and question her personal history.
Three Losses,2022,Documentary,"Three stories. Florence organises a concert in memory of her fiancé Joseph Leon and shares her memories. Tibetans work hard to revive their ancient opera, Ache Lhamo, in Dharamshala. Filmmaker struggles between losing identity and effects of post-colonialism and draws an essayist comparison between Mumbai and London."
Horror Express,2022,"Horror, Sci-Fi","Archaeologists board a train with the remains of an ancient creature. But during the trip, the monster thaws out and seeks to absorb the life force of every passenger who crosses it's path."
Look at Me: XXXTentacion,2022,"Documentary, Music","An inside look at a gifted young rapper's tumultuous coming-of-age with never-before-seen footage, as XXXTentacion's inner circle speaks out for the first time."
Charlotte,2022,Horror,
Il Boemo,2022,"Biography, Drama, History, Music","Looking for work as a violinist, Josef comes into the orbit of a rich young woman. She introduces him to a hedonistic existence free from religious intolerance. Josef gets an incredible commission: to write an opera for the San Carlo."
"Nie martw się, kochanie",2022,"Drama, Thriller",A 1950s housewife living with her husband in a utopian experimental community begins to worry that his glamorous company could be hiding disturbing secrets.
Gehraiyaan,2022,"Drama, Romance",Takes you on a journey into the deep rooted intricacies of modern human relationships.
Shin Ultraman,2022,"Action, Adventure, Drama, Fantasy, Sci-Fi","As the threat of giant unidentified lifeforms known as ""S-Class Species"" worsens in Japan, a silver giant appears from beyond Earth's atmosphere."
Creatures of Necessity,2022,"Comedy, Crime, Thriller","After 13 days without receiving a ransom and their identities unveiled, everyone involved with the kidnapping of Isabella Contini, hit their breaking point."
Graves,2022,"Action, Crime, Drama","Graves Police Officer, Mark Brody, embarks on a journey to bring criminals to justice while Michael Laforte is the hard-drinking, ruthless criminal mastermind who doesn't play by the rules. Clyde Baxter, Matt Goldberg, Pedro Dominguez and the rest of a gang of ex-military men use their expertise and tactical skills to evade the law. His crew soon finds themselves on a direct collision course with Special Agent Mark Brody and the Graves Task Force as the criminals hatch an elaborate plan for a seemingly impossible heists all around the city."
Abiding,2022,"Action, Crime, Drama, Thriller",A mobster must save his family from paying the ultimate price for his sins when a killer from his past is on a sworn mission to wipe each one of them out.
Persona,2022,"Drama, Romance, Thriller","A Man forms a passionate and sensual relationship with a woman in his dreams, upon waking up he must deceive his surreal hallucinations and Insomnia to find a way to re-unite with her again."
