title,year,plot,genre
Causeway,2022,A US soldier suffers a traumatic brain injury while fighting in Afghanistan and struggles to adjust to life back home.,Drama
Nothing Compares,2022,Following the career of singer Sinéad O'Connor through her rise to fame and how her iconoclastic personality led to her exile from the pop mainstream.,Documentary
Bullet Proof,2022,"After stealing millions in cash from the drug hiding place of the sadistic mafia boss Temple, a thief finds a stowaway passenger in his getaway car.",Action
"Bernice, Too",2022,Two men. One wheelchair. And a day in their lives - The world is a wonderful and strange place. Let's spend some time in theirs. The newest film from Elmwood Productions. Starring a cast of puppets. Nothing too deep. But just deep enough.,Comedy
Wyjdź za mnie,2022,"Music superstars Kat Valdez and Bastian are getting married before a global audience of fans. But when Kat learns, seconds before her vows, that Bastian has been unfaithful, she instead decides to marry Charlie, a stranger in the crowd.",Comedy
Last American Horror Show: Volume II,2022,This is the sequel to Last American Horror Show.,Horror
The Darker the Lake,2022,"When strange, supernatural murders suddenly become the talk a peaceful town, two detectives must solve a deadly game, but will the myth of this game reveal secrets too close to home.",Crime
Stroke of Luck,2022,"Young Nathan has pulled a damaging prank at his school in the city and is sent to his father's farm to work it off. But Nathan finds much more than he bargained for when he gets there, including Sarah, a very charming, independent farm hand, a bizarre crime ring, and a horse that only he can hear talk. Cameo by John Popper - lead singer of the band Blues Traveler. Directed and co-authored by first-time feature filmmaker, Christian Frelinghuysen. Produced by Mark Farrell (Curb Your Enthusiasm, Z Rock). Shot entirely in the Berkshires of Western Massachusetts. [Coming-of-Age Comedy]",Comedy
Rat Park,2022,A recovering addict struggles to save his loved ones when a home invasion goes terribly wrong.,Drama
La voluntaria,2022,"A retired doctor, decides to travel as a volunteer to a greek refugee camp. When she meets young Ahmed, the limits between the need to take care of somebody and of feeling useful begin to fade.",Drama
Project Kahuta,2022,A captivating and true case study of espionage webbed around one of the finest operations pulled by India's Research and Analysis wing against Pakistan's top secret nuclear plant at Kahuta.,Biography
The Island of Forgiveness,2022,"Andrea Licari, a Tunisian of Italian descent now 60 years of age, has become an accomplished author, college professor and a leading thinker in Rome. Today, Andrea finds himself facing the most challenging time of his life.",Drama
Site,2022,"After a terrifying encounter at an abandoned government test site, a small town family man begins seeing haunting visions of a past that threatens to destroy his present.",Horror
Expired,2022,"In an uncharted future, two hardened souls meet and confront each other with the things they have done and what they have become.",Romance
Strange World,2022,The legendary Clades are a family of explorers whose differences threaten to topple their latest and most crucial mission.,Animation
Lightyear,2022,"While spending years attempting to return home, marooned Space Ranger Buzz Lightyear encounters an army of ruthless robots commanded by Zurg who are attempting to steal his fuel source.",Animation
Path to Midnight,2022,A home invasion turns deadly when the would be robbers and their targets are held captive by the mob.,Crime
Amsterdam,2022,"In the 1930s, three friends witness a murder, are framed for it, and uncover one of the most outrageous plots in American history.",Comedy
Alone in the Night,2022,Stephanie and her friends run into car trouble and stay over at an empty house...or is it?,Horror
Big Gold Brick,2022,"Fledgling writer Samuel Liston and his experiences with Floyd Deveraux, the enigmatic middle-aged father of two who enlists Samuel to write his biography.",Comedy
Dampyr,2022,"Harlan Draka is a Dampyr, half-human and half-vampire, but he doesn't know it. Soon he will have to face his powers to destroy a terrible Master of The Night.",Fantasy
Unplugging,2022,"To revive their marriage and reconnect, a couple takes a self-prescribed digital detox weekend to a remote mountain town. What starts as a perfect weekend getaway without technology quickly spirals out of control.",Comedy
The Contractor,2022,"A discharged U.S. Special Forces sergeant, James Harper, risks everything for his family when he joins a private contracting organization.",Action
The Final Sacrifice: Directors Cut,2022,"THE FINAL SACRIFICE is a three-sided story about German, Italian, and American soldiers, set in Northern Italy during the final weeks of the World War II.",Action
Major Majestyk: The Power of the Crystals,2022,"In a steam-punk world, the incursion by meteorites containing a new power source triggers a global fight for domination.",Sci-Fi
Paki,2022,"The story of Israel with his brother Mateo and son Bebo, is on the run from war. After a long journey, they end up in Norway, in a dense small town life in the new city will be a journey from war to a new war.",Action
Etharkkum Thuninthavan,2022,"A lawyer turns judge jury and executioner and goes after a gang, led by a minister's son, that threatens women with videos of them.",Action
Stars at Noon,2022,"A young American journalist stranded in present-day Nicaragua falls for an enigmatic Englishman who seems like her best chance of escape. She soon realizes, that he may be in even greater danger than she is.",Drama
Loren & Rose,2022,"The appetizer is an introduction, the dessert is a farewell in this story of an indelible bond forged between a promising young filmmaker and an iconic actress.",Drama
La vaca que cantó una canción hacia el futuro,2022,"Cecilia travels to her father's farm after he has a heart attack. Back in her childhood home, Cecilia is met by her long-deceased mother whose presence brings to life a painful past chorused by the natural world around them.",Drama
Shane,2022,"This will present an intimate portrayal of Warne, the retired Australian cricketer and larger-than-life character whose reputation on and off the green pitch saw his fame transcend cricket.",Documentary
Disbeliever,2022,"Through the lens of American cultural anthropologist and Pultizer Prize-winning author Ernest Becker, DISBELIEVER is a cinematic rumination on human mortality and the lengths to which we go to deny it.",Documentary
Fisherman's Friends: One and All,2022,"Following the success of their first album, the Fisherman's Friends struggle to adjust to their new-found fame and work towards a second album.",Comedy
Pada,2022,"All the governments that have ruled the nation made laws that denied the indigenous people their way of life and their land often, protecting crony capitalist interests. The film revisits an episode of dissent in the 90s which brought up this question amongst us. A history forgotten!",Crime
Hallowtide,2022,a family divided in small-town USA,Drama
The Hit Man,2022,"""The Hit Man"" Documentary is about the life and times of Legendary music industry magnate Joe Isgro who picked Hit songs and controlled radio airplay for super star pop artists. The film focuses on Isgro's rise to power culminating in the infamous payola scandals of the 1980's involving all the major music labels, the U.S. Government, and organized crime.",Documentary
Jayeshbhai Jordaar,2022,A timid Jayesh must defy his patriarchal family as he flees with his wife to save their unborn daughter from foeticide.,Comedy
A life like any other,2022,"My father immortalized in family films the most beautiful moments of his life, while my mother's difficulties hit the blind spot of his images. Today, I revisit these images to tell a different story: that of a woman who sees her role as a mother take away her freedom step by step.",Documentary
Piggy,2022,An overweight teen is bullied by a clique of cool girls poolside while holidaying in her village. The long walk home will change the rest of her life.,Drama
Bridle,2022,"Korean monarchy officially ended in 1911 after Korea annexed by Japan as empire of Japan. Many of monarch family ended up marrying Japanese royalties or aristocrats, some of them still exists in Japan as royal members of Japan. These who still left in Korea were suffered political oppression from Republic of Korean government, and even in North Korea there are some royal members still alive as well, but they're just citizen of North Korea. The world has great interest on South Korean history, it's culture, cuisine and people. South Korea has had such a tragic past and then being ripped apart and abused from 1910-45 to suffer such oppression with no regard what this nation has had to endure!. It's time for it to be healed from these atrocities and openly establish and set the royal family back into it's rightful place.",Documentary
Brainwashed: Sex-Camera-Power,2022,"Investigates the politics of cinematic shot design, and how this meta-level of filmmaking intersects with the twin epidemics of sexual abuse/assault and employment discrimination against women, with over 175 movie clips from 1896 - 2020.",Documentary
L'homme parfait,2022,"Florence, overwhelmed by her family life and her work, decides to buy a robot with a human appearance and a perfect physique. It meets all her expectations: cleaning the house, taking care of the children, and more... But the robot will quickly arouse jealousy in Franck, her unemployed actor husband, I don't care. For fear of losing his wife, Franck decides to take matters into his own hands, especially since the robot seems to find malicious pleasure in causing trouble in their relationship.",Comedy
Ek Love Ya,2022,"Amar, a bright young boy, falls in love with Anitha, but when she rejects his advances, Amar turns into a different person with dim prospects. Produced by Rakshitha Prem, it is touted to be a musical love story.",Action
Atlas of Iladrael,2022,"A man named Atlas wakes up in the strange testing facility of a corporation researching immortality. With no memory of his life before this, Atlas will explore philosophical questions, unrequited love, and the six mysterious Guardians of a mystical forest named Iladrael. A nihilistic mythological fantasy, this film will incorporate surreal imagery, cryptic symbolism, and the fateful consequences of actions. Now in Pre-Production.",Fantasy
Honest to God,2022,"When a family man finds out he was misdiagnosed with a terminal illness, he must now make good on the promises he made to God if he were to be healed.",Comedy
Django/Zorro,2022,"Several years after the events of Django Unchained (2012), Django meets Don Diego de la Vega, the famed Zorro, and agrees to become his bodyguard on a mission to free the local aboriginal population from slavery.",Adventure
Aylan Baby,2022,"Alan Kurdi (Kurdish: Alan Kurdî ), initially reported as Aylan Kurdi, was a three-year-old Syrian - The bodies of Kurdi and another child were discovered by two locals at around 6:30 am. The two men moved the bodies from the water,",Action
Maurice le chat fabuleux,2022,"This story follows Maurice, a goofy streetwise cat, who has the perfect money-making scam. He finds a dumb-looking kid who plays a pipe and has his very own horde of rats, who are strangely literate.",Animation
Evil in Plain Sight,2022,"When FBI agent Darren Kimble, along with his partner Samantha Shaw, a former child victim of trafficking, gets wind of a deranged serial killer slaying innocent women that are believed to be engaging in sex against their will in The Red Light District of Houston, TX, he teams up with local law enforcement before a dangerous killer strikes again.",Drama
The Year of the Soul,2022,"A drama-comedy centered on a group of American expatriate friends living in Berlin, depicting their dilemmas, aspirations and their search for a meaningful life.",Comedy
Nightline,2022,"Under Czech law, most murders can be statute-barred in as little as 20 years. Radio presenter Eva gets involved in one case that is time-barred almost irretrievably. On her nightly show, she gives space to the mysterious Radek, who has returned to Prague after exactly twenty years.",Crime
Unbound Evil,2022,"While witnessing a horrific paranormal occurrence inside an abandoned church, a military commando led by a ruthless colonel, discovers a digital tablet with video footage on it: co-workers filming their trip in the woods, connecting the hikers in the footage with the unbound evil inside the church.",Horror
Broken,2022,"A detective interrogates a woman with the help of a psychiatrist, meanwhile attempting to uncover the truth behind a murder case",Thriller
North Central,2022,"North Central is a coming of age dramatic comedy that takes us into the hearts and minds of inner city youth who stand on the doorstep of life and are still trying to figure out how to ring the doorbell. In the end, we realize that some are chosen and others sit in the stands.",Drama
The Coven,2022,A devoted couple's quiet weekend takes a bizarre turn when a nightmarish cult and their maniacal leader come to fulfill an apocalyptic prophesy.,Horror
Hoodie,2022,Three friends go for a night on the town in order to help their friend get over what seemed to be the perfect relationship.,Drama
Padavettu,2022,"The coming of age drama portray the relentless pursuit of the layman, the oppressed section of society who is in a constant struggle and fight to reclaim their unique identity and rightful place in a world meant for all.",Action
Champagne!,2022,"Springtime in the French vineyards of Champagne. Patrick has gathered his oldest friends for his bachelor party. The trouble is, everyone hates his future wife. This could thus become one hellish weekend in gourmet paradise.",Comedy
Exposure 36,2022,"Three days before the world is set to end, a photographer is drawn into New York's criminal underworld after his friend goes missing.",Sci-Fi
On Sacred Ground,2022,A journalist and oil company executive find themselves on opposite sides of the fight during the construction of the contentious Dakota Access Pipeline that runs through the Standing Rock Indian Reservation in North Dakota.,Drama
Maigret,2022,"In Paris, a young girl is found dead in a Parisian square, wearing an evening dress. Commissioner Maigret will try to identify her and then understand what happened to the victim.",Crime
The Pack,2022,"Inmates have a task to train truculent dogs. Capitan Tomek, who is a leader of this program in the prison, struggle to keep the project running. Prisoners start to bond with their dogs and dogs start to change inmates live.",Documentary
O Palestrante Motivacional,2022,"Touched by the lack of perspective in his life, the accountant Guilherme takes the place of Marcelo without even knowing the real Marcelo is a motivational speaker.",Comedy
Shame,2022,"Freud's essay on anxiety, guilt, and shame, perfectly fits on this middle class Indian housewife, who's guilt when turns into shame, creates a monster which is uncontrollable .",Horror
Ancestors from the Stars,2022,"An unexpected encounter with an otherworldly visitor, leads a narrow-minded widowed Native American on a path of self-awakening, in order to save not just his ill-fated buddy but also the rest of humanity.",Adventure
Mind-Set,2022,"Lucy, a disillusioned office clerk who lives in a dysfunctional relationship with her slovenly partner Paul, is surprised to find herself on the cusp of a none-too-secret affair with her new work colleague, Daniel. The thrill of the chase for a shred of affection takes her mind off her problematic life but she's not sure that she'll ever leave Paul, or that sex with someone else is the true answer to her problems.",Comedy
Dhaakad,2022,"Agent Agni, a highly trained and deadly field agent is entrusted with the mission to gather Intel and eliminate Rudraveer, an international human and arms trafficker who has been off the radar for ten years.",Action
Humanity Stoked,2022,"The beauty in overcoming fear and other challenges facing humanity as seen by icons of pro skating, science, art, music, activism, and education, all of whom share experiences and perspectives shaped by their love of skateboarding.",Documentary
Veyil,2022,"Karthi and Sidhu live with their mother. As a family, how they face life and deal with all the challenges thrown at them is what forms the crux of the story.",Drama
The Kybalion,2022,"This film is an adaptation of the 1908 occult manuscript, The Kybalion - and explores the 7 principles of Hermetics. It is a surreal documentation of the supernatural world around us.",Documentary
Divine Telepathy,2022,"On a search to find her true calling in life she discovers a truth about her birth mom - through her passing. Not only does she discover her origin, but she discovers a shared history with siblings she has never known.",Drama
A Walk in the Park,2022,"Nate, a suicidal 28 year old incidentally finds the beauty in life after mysteriously waking up naked in a park and discovering he is involved in a marijuana heist. Nate is forced to find a special ""pillowcase"" he lost the night before which is hidden somewhere in the park. He embarks on a journey by putting the puzzle pieces together while encountering a variety of people who include the girl of his dreams and his menacing landlord. All Nate wants to do is get through the day however it may not be that easy.",Comedy
Lecciones para canallas,2022,"Fate leads young Jenny to search for her estranged father: small-time swindler Dirty Barry. Jenny believes love conquers all, but Barry knows money is what makes the world go round. Let the lessons for scoundrels begin.",Comedy
The Surrogate,2022,A ghost horror about a mother who falls mysteriously ill and struggles to stop her family from being destroyed.,Horror
Babylon,2022,"A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood.",Comedy
Dhokha: Round D Corner,2022,"When a housewife with a personality disorder is taken hostage by a terrorist on the loose and a husband accused of cheating on his wife, have their own versions of reality, how do we know what the truth is? Dhoka Round D corner is a tale of lies and harsh truths.",Crime
Thor: Love and Thunder,2022,"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.",Action
Side Effects,2022,"Alex, a gay college sophomore, attempts to ignore his unrequited feelings for the love of his life by making a superhero film with his friends. As his movie unfolds, so too does the possibility of a new relationship.",Drama
Wings Over Water,2022,"A documentary filmed in stunning 3D high definition for IMAX. This film will showcase millions of migratory birds, the importance the wetlands of the upper midwest play in their lives, and dangers to the continued existence of the Prairie Pothole region that is so crucial to the future of migratory birds in North America.",Documentary
Halloween Ends,2022,The saga of Michael Myers and Laurie Strode comes to a spine-chilling climax in the final installment of this trilogy.,Horror
Wicked Game,2022,"An electrifying thrill-ride is unfolding with propulsive energy, unexpected twists and breathtaking action.",Action
Women of Phantasm: The Documentary with Balls!,2022,"There have been over 144+ women in 40+ years in front of and behind the camera on the world renowned horror series, ""Phantasm."" This is their story.",Documentary
Nikamma,2022,A lazy slacker struggles to get along with his diligent sister-in-law - until they must step up and fight together against a common enemy.,Action
The White Rider Returns - A Sean Hunt Film,2022,"In the Old West, the adventure continues as our Heroes attempt to set free the negro slaves of Bernie William's Family and once again face the sinister Grisham Clan.",Western
Entergalactic,2022,"Jabari, a charming, streetwear-clad artist on the cusp of real success. After a chance run-in with his cool new photographer neighbor, Meadow, Jabari has to figure out whether he can make space for love in his life.",Animation
Slovo,2022,"The story of the intended feature film The Word (Slovo: originally His Word, Her Word) depicts the lives of Mr. and Mrs. Vaclav Vojir and Vera Vojirova, their family and their immediate surroundings between the summer of 1968 and the summer of 1969.",Drama
Rucker,2022,A trucker attempts to reconnect with his family by killing women who remind him of his ex-wife.,Drama
Ghoul,2022,"Karla, a free-lance photographer moves into a new house in Las Vegas and thinks it's haunted. A few people (a low-life thief, a creepy handy-man, an angry nosy neighbor, and a few more) get brutally murdered by something horrible that is living in the attic. GHOUL will make you want to sleep with the lights on.",Horror
Ponniyin Selvan: Part I,2022,"Vandiyathevan sets out to cross the Chola land to deliver a message from the Crown Prince Aditha Karikalan. Kundavai attempts to establish political peace as vassals and petty chieftains plot against the throne. Unrest grips the land as a long-tailed comet arrives, signalling a time of turmoil.",Action
K.G.F: Chapter 2,2022,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy.",Action
Bachchhan Paandey,2022,"When a struggling filmmaker and actor set out to make a biography on one of the most dreaded gangsters, they have little idea about just how crazy and dangerous it's going to be.",Action
The Book of Harth,2022,A New York City-based conceptual artist embarks on a 20-year art project asking culturally significant people to sign his copy of The Holy Bible.,Documentary
Sexagenarian,2022,A lonely sixty year old woman finds a new perspective on her life when an unexpected teenager appears on her doorstep. This troubled young man forces her to confront and question her personal history.,Comedy
Three Losses,2022,"Three stories. Florence organises a concert in memory of her fiancé Joseph Leon and shares her memories. Tibetans work hard to revive their ancient opera, Ache Lhamo, in Dharamshala. Filmmaker struggles between losing identity and effects of post-colonialism and draws an essayist comparison between Mumbai and London.",Documentary
Horror Express,2022,"Archaeologists board a train with the remains of an ancient creature. But during the trip, the monster thaws out and seeks to absorb the life force of every passenger who crosses it's path.",Horror
Look at Me: XXXTentacion,2022,"An inside look at a gifted young rapper's tumultuous coming-of-age with never-before-seen footage, as XXXTentacion's inner circle speaks out for the first time.",Documentary
Il Boemo,2022,"Looking for work as a violinist, Josef comes into the orbit of a rich young woman. She introduces him to a hedonistic existence free from religious intolerance. Josef gets an incredible commission: to write an opera for the San Carlo.",Biography
"Nie martw się, kochanie",2022,A 1950s housewife living with her husband in a utopian experimental community begins to worry that his glamorous company could be hiding disturbing secrets.,Drama
Gehraiyaan,2022,Takes you on a journey into the deep rooted intricacies of modern human relationships.,Drama
Shin Ultraman,2022,"As the threat of giant unidentified lifeforms known as ""S-Class Species"" worsens in Japan, a silver giant appears from beyond Earth's atmosphere.",Action
Creatures of Necessity,2022,"After 13 days without receiving a ransom and their identities unveiled, everyone involved with the kidnapping of Isabella Contini, hit their breaking point.",Comedy
Graves,2022,"Graves Police Officer, Mark Brody, embarks on a journey to bring criminals to justice while Michael Laforte is the hard-drinking, ruthless criminal mastermind who doesn't play by the rules. Clyde Baxter, Matt Goldberg, Pedro Dominguez and the rest of a gang of ex-military men use their expertise and tactical skills to evade the law. His crew soon finds themselves on a direct collision course with Special Agent Mark Brody and the Graves Task Force as the criminals hatch an elaborate plan for a seemingly impossible heists all around the city.",Action
Abiding,2022,A mobster must save his family from paying the ultimate price for his sins when a killer from his past is on a sworn mission to wipe each one of them out.,Action
Persona,2022,"A Man forms a passionate and sensual relationship with a woman in his dreams, upon waking up he must deceive his surreal hallucinations and Insomnia to find a way to re-unite with her again.",Drama
Serdtse parmy,2022,"The 15th century. Sent to remote Parma by the Grand Prince of Moscow, prince Yermolay tells his son Mikhail about his dream: to create a grand princedom that would unite the peoples inhabiting these lands. Soon Yermolay is killed in the battle against the rebellious local tribes, the Voguls. His heir Mikhail finds himself in the middle of two worlds - the Grand Duchy of Moscow and the ancient lands of Perm populated by pagans. Mikhail marries a local girl, Tiche, a half woman, a half lamia - a witch, a living incarnation of the main pagan symbol Golden Woman, Sorni Nai. The legend has it that whoever owns Sorni Nai, has the full control over Parma. A talented diplomate, Mikhail finds allies among the local khans. He is able to bring a fragile peace but the news about the increasingly powerful Permian Prince reaches Moscow. The Grand Prince Ivan III decides to overpower Mikhail and his allies. He intends to turn disparate Rus into a uniform and strong state, realizing that the peoples can't repel the endless invasions of the Russian lands on their own. Mikhail has a difficult choice to make: to accept the will of Moscow or to stick with the local rulers who had helped him more than once in the past and many of whom became his loyal friends. Mikhail decides to listen to his heart and not the reason and ultimately loses the battle against the Grand Prince of Moscow and with his friends and allies ends up in captivity. In the meantime, Tiche is kidnapped by Mikhail's bitter enemy Assyka who wants to regain his control over Parma, believing that Tiche the lamia is his and his alone.",Drama
Suitable Etc.,2022,"A young Indian American expat navigating traditional arranged marriage matchmaking dodges bullets, spots red flags, falls in love, and comes to terms with her heritage and cultural identity.",Comedy
Come Out Fighting,2022,"Late 1944 during WWII, the American army have raced their way through the countryside on the border of France entering Nazi Germany. Hitler desperate to turn the tide, has deployed his secret weapon: an M-262 fighter jet. Lieutenant Frank Ross, a P-51 Mustang fighter pilot, encounters a Nazi weapon, and an intense aerial battle quickly ensues. Lieutenant Frank Ross is unsuccessful in the fight and is forced to eject from his own plane, landing himself behind enemy lines. Waiting for a rescue team, Frank finds himself in the middle of a German ambush against an American Tanker Patrol. Leading the USA Patrol is the 2nd Lt. Robert Hayes along with his right hand soldier, ""Sergeant A.J. Red McCarron and also Private Michael ""Salty"" Buttons serving the famed 761st Tank Battalion known as ""The Black Panthers."" Buttons and the others must find a way to put differences aside and band together to win this war.",Action
Octopus Pot,2022,"A broken man finds the one thing he can't live without only to lose it. He can't bring back the woman he loves, but he can cover the ground with the blood of his enemy.",Drama
Diary of a Spy,2022,"A washed-up intelligence officer is given the chance for one last mission, recruiting an asset connected to the Saudi Royal Family.",Drama
The Janus Perspective,2022,"Three friends are confined to a small cabin where the outside world is haunted by those who did not survive. Their patience and fortitude are tested daily, as they must navigate this nightmarish world as well as each other.",Horror
Valimai,2022,"Arjun, an IPS officer sets out for a mission on hunting down illegal bikers involving in theft and murder.",Action
Vertical,2022,Rita is the daughter of a family carrying and ancient blood with extraordinary abilities. Every 100 years they need to sacrifice to protect the people. The destiny brings her to a rocky vertical mountains where the monsters lives.,Adventure
The Last Fighter,2022,"Mark is an intelligent lawyer and Martial Artist who becomes a Martial Art Champion. Mark is introduced to a Masonic Organization where he fights for a lot of money against criminals who want to win for their freedom. Mark uses his winnings to help associations that deal with poor children in the world, in which his girlfriend Aurora is also a part of. During the fights Mark will go through many emotions and challenges to the death of his opponents.",Action
CAT 6,2022,What should have been a lovely vacation in the sunshine state turns into a nightmare of catastrophic proportion when strangers find themselves trapped it what seems and endless moment in time.,Horror
The Kashmir Files,2022,"A heart-wrenching tale that captures the pain, suffering, and struggle of the Kashmiri Pandit community in 1990 and leads Krishna, a young college student, to set out on a quest to uncover the truth.",Drama
The Lost Cult,2022,"In the summer of 2021, six students decide to go to summer camp in the United States. Once settled, they will realize that they are not alone in the camp, and that the past comes back to haunt them one by one.",Horror
Forever Young,2022,On the 29th February 2020 Karen Tinsley-Sroka celebrates her birthday in style aboard a cruise ship in The Bahamas with seventy-seven other Leap Year Babies.,Documentary
Hope's Song,2022,"Cameron Ryder is a semi famous singer who is about to release his new album. His girlfriend Hope is facing a serious medical diagnosis no one saw coming. With the help of his entire family, they begin the treatment process, which draws Hope and Cameron even closer. Will their love be able to survive?",Drama
Leonardo and the Love,2022,"A man, quiet, unassuming and recently heartbroken is leaving his cherished life and love in a charming Italian town, when he discovers a kitten trapped in a drainpipe, tries to rescue the exhausted creature and maybe his relationship.",Comedy
Diorama,2022,"It follows Frida and Björn's love story, from passion to marriage to family life, from a scientific perspective.",Romance
EAMI,2022,"Eami's homeland is invaded by settlers. Embodying Asojá, the bird-god-woman, she falls into trance in which she walks slowly and stunned through her beloved forest as she prepares to leave it forever.",Drama
Fuhgedd About It,2022,"A bloody tale of an underground mafia crew that rose to power in a volatile world while building a criminal empire in the heart of New Jersey and surrounding New York areas. As the crew prepares for a hostile takeover, survival pf the fittest in a deadly never ending war zone results in a head to head showdown with one of the most ruthless Mexican drug cartels east of the border. All the while, another deadly mafia crew out for blood, threatens the remaining territory. To make matters even worst, Undercover FBI investigators move in to try to infiltrate the organizations. As time passes with an abundance of money in circulation, the death toll continued to climb at an all time high and the ultimate betrayal sets in. This suspenseful cat and mouse chase is based on a true story. Never before has there been a mafia story that's been so riveting and captivating. But as the saying goes, every great empire always takes a fall in the end or....Fuhgeddaboudit.",Drama
Stay with Me,2022,"A woman with an undiagnosed mental disorder struggles to survive with her illness, while her best friend and boyfriend struggle as they learn to be her advocates.",Drama
Heavy Vibes - The Vince Montana Retrospect.,2022,"A look back and forward on the musical legacy of M.F.S.B. original member and creator of The Salsoul Orchestra Vince Montana, Jr. and his fight for his share of recognition, fame, and fortune or risks fading in obscurity.",Documentary
Krime Story,2022,"A small-time thief and his best friend get hired to rob a wealthy businessman, but things start to go sideways once the job is done.",Comedy
Raspberry1508,2022,"Set in near future, a brave woman discloses the truth about the creation of the The Perfect Human, and is forced to fight for her life.",Drama
Megalomaniac,2022,Megalomaniac questions the invisible line between victim and executioner and how it is crossed. A film about the weight of patriarchy and the illusion of Manichaeism,Horror
The Street Avenger,2022,"When a young girl being raised by a single father loses him to gang violence, she turns to law enforcement, but they are no help. She tries to take the law into her own hands and finds out being a vigilante is nothing like she reads about in the comics. Rosie (played by Karina Encarnacion) quickly finds herself caught in a war between two rival gangs while trying to stay two steps ahead of the police. This is a raw, action-packed adventure that shows the inner strength of a young woman that will stop at nothing to avenge her father.",Action
Herseye Ragmen,2022,"""Your scar becomes who you are.""",Drama
The Black Caesar,2022,Hit man Tommy Walker becomes a notorious black mob leader on the streets of New York City.,Action
